ParentProductCategoryName,ProductCategoryName,ProductCategoryID
Accessories,Bike Racks,30
Accessories,Bike Stands,31
Accessories,Bottles and Cages,32
Accessories,Cleaners,33
Accessories,Fenders,34
Accessories,Helmets,35
Accessories,Hydration Packs,36
Accessories,Lights,37
Accessories,Locks,38
Accessories,Panniers,39
Accessories,Pumps,40
Accessories,Tires and Tubes,41
Clothing,Bib-Shorts,22
Clothing,Caps,23
Clothing,Gloves,24
Clothing,Jerseys,25
Clothing,Shorts,26
Clothing,Socks,27
Clothing,Tights,28
Clothing,Vests,29
Components,Handlebars,8
Components,Bottom Brackets,9
Components,Brakes,10
Components,Chains,11
Components,Cranksets,12
Components,Derailleurs,13
Components,Forks,14
Components,Headsets,15
Components,Mountain Frames,16
Components,Pedals,17
Components,Road Frames,18
Components,Saddles,19
Components,Touring Frames,20
Components,Wheels,21
Bikes,Mountain Bikes,5
Bikes,Road Bikes,6
Bikes,Touring Bikes,7
