rdf:subject,rdf:type,dqwdg:parent,dqwdg:name,rdfs:label,rdfs:comment,dqwdg:target,dqwdg:transformation,dqwdg:description,dqwdg:value,dqwdg:expression,dqwdg:source1,dqwdg:source2
dqw-mapping:product-models,dqw:Mapping,,product-models.csv,Mapping for product-models.csv,Specification for CMS product models data.,dqw-cont:productmodels,dqw:Filter,Take records from {source1} where {source2} is not empty.,,,dqw-cont:saleslt-productmodel,dqw-cont:saleslt-productmodel-003
dqw-mapping:product-models-001,dqw:Mapping,dqw-mapping:product-models,ProductModelID,ProductModelID,,dqw-mapping:product-models-001,dqw:Copy,,,,dqw-cont:saleslt-productmodel-001,
dqw-mapping:product-models-002,dqw:Mapping,dqw-mapping:product-models,Name,Name,,dqw-mapping:product-models-002,dqw:Copy,,,,dqw-cont:saleslt-productmodel-002,
dqw-mapping:product-models-003,dqw:Mapping,dqw-mapping:product-models,Summary,Summary,,dqw-mapping:product-models-003,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Summary/html:p)[1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-004,dqw:Mapping,dqw-mapping:product-models,Manufacturer,Manufacturer,,dqw-mapping:product-models-004,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Manufacturer/p1:Name)[1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-005,dqw:Mapping,dqw-mapping:product-models,Copyright,Copyright,,dqw-mapping:product-models-005,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Manufacturer/p1:Copyright)[1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-006,dqw:Mapping,dqw-mapping:product-models,ProductURL,ProductURL,,dqw-mapping:product-models-006,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Manufacturer/p1:ProductURL)1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-007,dqw:Mapping,dqw-mapping:product-models,WarrantyPeriod,WarrantyPeriod,,dqw-mapping:product-models-007,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Features/wm:Warranty/wm:WarrantyPeriod)[1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-008,dqw:Mapping,dqw-mapping:product-models,WarrantyDescription,WarrantyDescription,,dqw-mapping:product-models-008,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Features/wm:Warranty/wm:Description)1]",dqw-cont:saleslt-productmodel-003,
dqw-mapping:product-models-009,dqw:Mapping,dqw-mapping:product-models,NoOfYears,NoOfYears,,dqw-mapping:product-models-009,dqw:Transform,Extract value of xpath {expression} from {source1}.,,"declare namespace p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription""; declare namespace html=""http://www.w3.org/1999/xhtml""; (/p1:ProductDescription/p1:Features/wm:Maintenance/wm:NoOfYears)1]",dqw-cont:saleslt-productmodel-003,
